Pclass, Age, Sex, Fare, Survived
3,22,M,7.25,0
1,38,F,71.28833,1
3,26,F,7.925,1
1,35,F,53.1,1
3,35,M,8.05,0
3,0,M,8.4583,0
1,54,M,51.8625,0
3,2,M,21.075,0
3,27,F,11.1333,1
2,14,F,30.0708,1
3,4,F,16.7,1
1,58,F,26.55,1
3,20,M,8.05,0
3,39,M,31.275,0
3,14,F,7.8542,0
2,55,F,16,1
3,2,M,29.125,0
2,0,M,13,1
3,31,F,18,0
3,0,F,7.225,1
2,35,M,26,0
2,34,M,13,1
3,15,F,8.0292,1
2,15,M,5.5540,1
1,30,F,51.5955,1
3,12,M,7.4345,0
2,20,F,30.0405,1
2,25,M,32.435,0
3,40,M,10.3333,0
3,45,F,10,0
2,22,M,40.5444,1
3,0,F,7.225,1
2,35,M,26,0
2,34,M,13,1
3,15,F,8.0292,1
2,15,M,5.5540,1
1,30,F,51.5955,1
3,12,M,7.4345,0
2,20,F,30.0405,1
2,25,M,32.435,0
3,40,M,10.3333,0
3,45,F,10,0
2,22,M,40.5444,1
3,26,F,7.925,1
1,41,F,53.1,1
3,41,M,8.05,0
3,0,M,2.4583,0
1,3,M,51.8625,1